DOI,Image URL,Local File,Method,Status
10.1021/acscatal.5c07050,https://pubs.acs.org/cms/10.1021/acscatal.5c07050/asset/images/medium/cs5c07050_0008.gif,10-1021_acscatal-5c07050.gif,acs-figure,ok
10.1021/acscatal.5c01802,https://pubs.acs.org/cms/10.1021/acscatal.5c01802/asset/images/medium/cs5c01802_0009.gif,10-1021_acscatal-5c01802.gif,acs-figure,ok
10.1021/jacs.4c08866,https://pubs.acs.org/cms/10.1021/jacs.4c08866/asset/images/medium/ja4c08866_0010.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/jacs.4c08866/asset/images/medium/ja4c08866_0010.gif,acs-figure,ok
10.3233/FAIA240796,,,,unsupported-domain-skipped
10.3233/FAIA240796,,,,no image found
10.1021/acscatal.4c01194,https://pubs.acs.org/cms/10.1021/acscatal.4c01194/asset/images/medium/cs4c01194_0011.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acscatal.4c01194/asset/images/medium/cs4c01194_0011.gif,acs-figure,ok
10.1002/ange.202310112,https://onlinelibrary.wiley.com/cms/asset/c4eadfcf-3b05-4821-893b-7d2f7e89f77a/ange202310112-toc-0001-m.jpg?trick=1780757729081,10-1002_ange-202310112.jpg,og:image,ok
10.1021/acs.jpca.3c04779,https://pubs.acs.org/cms/10.1021/acs.jpca.3c04779/asset/images/medium/jp3c04779_0015.gif,10-1021_acs-jpca-3c04779.gif,acs-figure,ok
10.1021/acs.accounts.2c00801,https://pubs.acs.org/cms/10.1021/acs.accounts.2c00801/asset/images/medium/ar2c00801_0007.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acs.accounts.2c00801/asset/images/medium/ar2c00801_0007.gif,acs-figure,ok
10.1021/jacs.2c10975,https://pubs.acs.org/cms/10.1021/jacs.2c10975/asset/images/medium/ja2c10975_0012.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/jacs.2c10975/asset/images/medium/ja2c10975_0012.gif,acs-figure,ok
10.1021/acscatal.2c05725,https://pubs.acs.org/cms/10.1021/acscatal.2c05725/asset/images/medium/cs2c05725_0011.gif,10-1021_acscatal-2c05725.gif,acs-figure,ok
10.1016/j.isci.2022.104661,https://ars.els-cdn.com/content/image/1-s2.0-S2589004222009336-fx1.jpg,10-1016_j-isci-2022-104661.jpg,og:image,ok
10.1063/5.0084432,,,,cloudflare-skipped
10.1063/5.0084432,,,,no image found
10.1021/acs.joc.1c02222,https://pubs.acs.org/cms/10.1021/acs.joc.1c02222/asset/images/medium/jo1c02222_0014.gif,10-1021_acs-joc-1c02222.gif,acs-figure,ok
10.1021/acs.joc.1c02126,https://pubs.acs.org/cms/10.1021/acs.joc.1c02126/asset/images/medium/jo1c02126_0010.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/acs.joc.1c02126/asset/images/medium/jo1c02126_0010.gif,acs-figure,ok
10.1002/ijch.202100106,,,,cloudflare-skipped
10.1002/ijch.202100106,,,,no image found
10.1021/jacs.0c06942,https://pubs.acs.org/cms/10.1021/jacs.0c06942/asset/images/medium/ja0c06942_0007.gif,download error: 403 Client Error: Forbidden for url: https://pubs.acs.org/cms/10.1021/jacs.0c06942/asset/images/medium/ja0c06942_0007.gif,acs-figure,ok
